slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
SR1482_40X_HE_T002_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T003_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T004_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T004_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T005_01.czi,1,processed,6,128,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T005_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T007_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T008_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T009_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T009_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T010_01.czi,1,processed,6,134,5,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T011_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T012_01.czi,1,processed,6,126,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T013_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T014_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T015_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T016_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
